station_id,n_train,tau_well,is_igp
104540076255901,19,9.2,False
104540076261001,21,21.9,False
104550077354001,88,8.815999999999999,False
104600076193001,96,7.25,False
104600076244501,95,9.062000000000001,False
104830076573001,48,12.205,False
104830077093001,33,17.616000000000003,False
104900077010001,54,22.423000000000002,False
105045078445501,81,5.4,False
105115078423001,60,4.802,False
105150078430001,46,4.16,False
105300079231501,71,3.68,False
105315079360001,26,5.1,False
105330079063001,82,3.5900000000000007,False
105430078491501,65,3.128000000000001,False
105530078433001,57,4.416,False
105530079163001,90,4.476000000000003,False
105535076105301,10,33.015,False
105654075523801,11,2.97,False
105655076001001,95,13.928,False
105701076194301,36,11.969999999999999,False
105707076191401,21,10.41,False
105730076303001,92,3.254,False
105751076171001,22,9.286000000000001,False
105800076220001,12,10.414000000000001,False
105800076220002,79,11.736,False
105815075590001,94,9.923,False
105824076134301,76,9.085,False
105824076134302,8,6.383,False
105835076063501,87,13.232,False
105840076122601,18,9.384,False
105841076091901,16,6.83,False
105853076081901,18,9.888,False
105857075581601,9,2.8600000000000003,False
105900075523001,98,5.271999999999999,False
105904076285801,13,4.694000000000001,False
105930077333001,66,9.495000000000001,False
110010077334501,92,14.513,False
110015078593001,39,10.430000000000001,False
110126079064501,59,17.838,False
110130076543001,86,47.66,False
110130077073001,89,7.768,False
110150078255801,21,12.36,False
110230076531501,60,57.102000000000004,False
110245078573001,57,3.0799999999999996,False
110340078083001,66,4.66,False
110410077000501,86,33.150000000000006,False
110420078330001,85,19.202000000000005,False
110430077000501,68,34.887,False
110450077271001,67,9.044,False
110500077264501,85,9.324,False
110630078001201,87,4.6320000000000014,False
110715078271501,85,27.014000000000003,False
110730079271501,87,4.992,False
110840078360001,62,9.944999999999999,False
110930078433001,9,12.718000000000002,False
110940078432001,81,12.6,False
110958078513001,35,6.986000000000001,False
111000077420001,62,7.05,False
111004075485201,4,3.236,False
111018075482501,98,4.324,False
