station_id,count,min,max,span_days,median_gap_days
300900075000001,40,2012-11-05,2023-01-01,3709,73.0
300900075000002,43,1994-05-01,2022-11-01,10411,92.0
300900075000003,38,1995-11-01,2023-01-01,9923,102.0
300931076590401,1,2023-08-20,2023-08-20,0,
300932076590101,1,2023-08-20,2023-08-20,0,
300936076215001,1,2023-01-01,2023-01-01,0,
300936076215002,1,2023-01-01,2023-01-01,0,
300936076215003,1,2023-01-01,2023-01-01,0,
300942076460001,5,2015-05-15,2022-05-20,2562,540.0
300950075090001,110,1994-05-01,2023-01-01,10472,80.0
300951075253301,6,2016-11-05,2022-05-20,2022,292.0
300956075023001,5,2014-01-05,2015-01-05,365,87.0
300959076423501,3,2017-01-05,2022-05-20,1961,980.5
301000076000501,10,1996-01-05,2022-05-20,9632,232.0
301030076453001,20,1996-01-05,2003-01-05,2557,130.0
301036076073601,1,2023-01-01,2023-01-01,0,
301045076465001,1,2015-11-05,2015-11-05,0,
301048076465401,1,2023-08-20,2023-08-20,0,
301048076465402,1,2023-08-20,2023-08-20,0,
301050076563401,4,2017-01-05,2022-05-20,1961,512.0
301057075245101,11,2015-05-15,2022-08-20,2654,146.0
301104076153401,1,2023-01-01,2023-01-01,0,
301105076304801,12,2010-11-05,2014-05-15,1287,130.0
301245076273001,7,2017-11-05,2022-05-20,1657,125.5
301245077020001,9,1996-01-05,1998-01-05,731,87.0
301255074160901,104,1994-05-01,2023-01-01,10472,80.0
301330076084501,17,2012-11-05,2022-08-20,3575,116.0
301406076494001,12,2012-05-15,2017-05-15,1826,174.0
301430076511001,6,2015-05-15,2022-05-20,2562,427.0
301430076511002,5,2015-05-15,2018-10-20,1254,300.5
301430077121501,20,1994-05-01,2022-05-20,10246,92.0
301443078060701,54,2005-01-05,2024-01-30,6964,102.0
301455076430001,1,2022-11-01,2022-11-01,0,
301455076454501,5,2015-11-05,2022-05-20,2388,540.0
301500077200001,95,1994-05-01,2022-11-01,10411,92.0
301515075403001,65,1994-05-01,2012-01-05,6458,102.0
301515075493002,16,2014-11-05,2023-01-01,2979,138.0
301520076165001,36,2008-05-15,2020-11-30,4582,102.0
301530078021201,1,2023-01-30,2023-01-30,0,
301542076592001,4,2015-11-05,2018-11-01,1092,141.0
301555078015701,1,2024-01-30,2024-01-30,0,
301605074151501,14,2014-01-05,2022-05-20,3057,102.0
301610074000501,12,2012-11-05,2018-11-01,2187,130.0
301614075590801,18,2012-11-05,2022-08-20,3575,102.0
301620076311801,16,2012-11-05,2022-08-20,3575,151.0
301645077213001,49,1996-01-01,2014-05-15,6709,116.0
301648076471101,5,2015-11-05,2022-05-20,2388,540.0
301655073584601,3,1994-05-01,2018-01-01,8646,4323.0
301655074014001,62,2005-08-25,2022-11-01,6277,97.0
301700076450001,6,2015-05-15,2022-05-20,2562,174.0
301700077020001,9,2013-05-15,2017-11-05,1635,182.5
301700077024501,98,1994-05-01,2022-11-01,10411,92.0
301700077170001,4,2015-01-05,2022-05-20,2692,1113.0
301710075454002,32,2012-11-05,2023-01-01,3709,102.0
301719074140101,1,2023-01-01,2023-01-01,0,
301719074140102,1,2023-01-01,2023-01-01,0,
301719074140103,1,2023-01-01,2023-01-01,0,
301740074063201,14,2014-01-05,2019-01-01,1822,102.0
301745077070001,104,1994-05-01,2022-11-01,10411,97.0
301748076195001,10,2016-11-05,2022-08-20,2114,92.0
301800077180002,30,2012-11-05,2022-11-01,3648,110.0
301800077291501,86,1997-11-05,2022-11-01,9127,102.0
